Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_144301,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,56,0,NONE
20260624_144302,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,68,33,NONE
20260624_144303,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,71,34,NONE
20260624_144304,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,73,34,NONE
20260624_144305,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,73,34,NONE
20260624_144306,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,77,36,NONE
20260624_144307,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,78,35,NONE
20260624_144308,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,81,35,NONE
20260624_144309,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,82,35,NONE
20260624_144310,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,83,36,NONE
20260624_144311,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,85,36,NONE
20260624_144313,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,85,36,NONE
20260624_144314,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,88,36,NONE
20260624_144315,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,88,36,NONE
20260624_144316,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,89,36,NONE
20260624_144317,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,75,32,NONE
20260624_144318,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,70,18,NONE
20260624_144319,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,68,16,NONE
20260624_144320,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,68,16,NONE
20260624_144321,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144322,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144323,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144324,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144325,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144327,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144328,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144329,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144330,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,16,NONE
20260624_144331,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,61,15,NONE
20260624_144332,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,62,1,NONE
