Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260623_151313,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,54,0,NONE
20260623_151314,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,67,33,NONE
20260623_151315,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,69,34,NONE
20260623_151316,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,73,35,NONE
20260623_151317,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,74,34,NONE
20260623_151318,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,76,34,NONE
20260623_151319,0x000181b800dd8040,0x0000000014021000,0x0000000014000000,76,35,NONE
20260623_151320,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,63,31,NONE
20260623_151322,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,57,14,NONE
20260623_151323,0x000181b800dd8040,0x0000000014020400,0x0000000014000400,56,11,NONE
20260623_151324,0x000181b800dd8040,0x0000000014020400,0x0000000014000400,56,10,NONE
20260623_151325,0x000181b800dd8040,0x0000000014020400,0x0000000014000400,55,8,NONE
20260623_151326,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,55,8,NONE
20260623_151328,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,54,8,NONE
20260623_151329,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,54,8,NONE
20260623_151330,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,54,8,NONE
20260623_151331,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,54,8,NONE
20260623_151332,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,53,8,NONE
20260623_151333,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,53,8,NONE
20260623_151335,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,53,8,NONE
20260623_151336,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,9,NONE
20260623_151337,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,8,NONE
20260623_151338,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,8,NONE
20260623_151339,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,51,9,NONE
20260623_151341,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,9,NONE
20260623_151342,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,8,NONE
20260623_151343,0x000181b800dd8040,0x0000000014020400,0x0000000014000000,52,9,NONE
20260623_151344,0x000181b800dd8040,0x0000000014020000,0x0000000014000000,51,3,NONE
20260623_151345,0x000181b800dd8040,0x0000000014020000,0x0000000014000000,50,1,NONE
20260623_151346,0x000181b800dd8040,0x0000000014020000,0x0000000014000000,52,1,NONE
