Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_143420,0x000181b800dd8078,0x0000000018020000,0x0000000010000000,54,0,NONE
20260624_143421,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,66,32,NONE
20260624_143422,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,70,33,NONE
20260624_143423,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,72,34,NONE
20260624_143424,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,74,34,NONE
20260624_143425,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,76,34,NONE
20260624_143426,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,78,34,NONE
20260624_143427,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,78,35,NONE
20260624_143428,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,81,36,NONE
20260624_143429,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,83,35,NONE
20260624_143430,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,85,35,NONE
20260624_143431,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,87,36,NONE
20260624_143432,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,87,36,NONE
20260624_143433,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,89,37,NONE
20260624_143435,0x000181b800dd8078,0x0000000018021000,0x0000000010000000,90,37,NONE
20260624_143436,0x000181b800dd8078,0x000000001c020400,0x0000000010000000,80,36,NONE
20260624_143437,0x000181b800dd8078,0x000000001c020400,0x0000000010000000,71,20,NONE
20260624_143438,0x000181b800dd8078,0x000000001c020400,0x0000000010000000,68,16,NONE
20260624_143439,0x000181b800dd8078,0x000000001c020400,0x0000000010000000,68,15,NONE
20260624_143440,0x000181b800dd8078,0x000000001c020400,0x0000000010000000,65,14,NONE
