Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,Throttling_Flags
20260615_152224,0x0001811800dd8078,0x000000001c020000,0x000000001c000000,41,NONE
20260615_152226,0x0001811800dd8078,0x000000001c020000,0x000000001c000000,49,NONE
20260615_152227,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,64,NONE
20260615_152228,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,67,NONE
20260615_152229,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,70,NONE
20260615_152230,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,72,NONE
20260615_152231,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,73,NONE
20260615_152232,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,75,NONE
20260615_152233,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,77,NONE
20260615_152234,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,80,NONE
20260615_152235,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,82,NONE
20260615_152236,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,85,NONE
20260615_152237,0x0001811800dd8078,0x000000001c021000,0x000000001c000000,88,NONE
20260615_152238,0x0001811800dd8078,0x000000001c021002,0x000000001c000000,90,NONE
20260615_152239,0x0001811800dd8078,0x000000001c021002,0x000000001c000000,90,NONE
20260615_152240,0x0001811800dd8078,0x000000001c020002,0x000000001c000000,91,NONE
20260615_152241,0x0001811800dd8078,0x000000001c020002,0x000000001c000000,91,NONE
20260615_152242,0x0001811800dd8078,0x000000001c020002,0x000000001c000000,91,NONE
20260615_152243,0x0001811800dd8078,0x000000001c020400,0x000000001c000000,90,NONE
20260615_152244,0x0001811800dd8078,0x000000001c020400,0x000000001c000000,86,NONE
