Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_144922,0x000181b800dd8040,0x000000001c020000,0x0000000014000000,58,0,NONE
20260624_144923,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,72,33,NONE
20260624_144924,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,73,34,NONE
20260624_144925,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,76,35,NONE
20260624_144926,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,78,35,NONE
20260624_144927,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,80,35,NONE
20260624_144929,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,81,35,NONE
20260624_144930,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,83,35,NONE
20260624_144931,0x000181b800dd8040,0x000000001c021000,0x0000000014000000,86,36,NONE
20260624_144932,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,69,32,NONE
20260624_144933,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,62,14,NONE
20260624_144934,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,61,10,NONE
20260624_144935,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,59,11,NONE
20260624_144936,0x000181b800dd8040,0x000000001c020400,0x0000000014000400,58,8,NONE
20260624_144938,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,57,8,NONE
20260624_144939,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,57,8,NONE
20260624_144940,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,57,8,NONE
20260624_144941,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,56,8,NONE
20260624_144942,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,56,8,NONE
20260624_144944,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,56,8,NONE
20260624_144945,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,55,8,NONE
20260624_144946,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,55,9,NONE
20260624_144947,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,55,9,NONE
20260624_144949,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,55,9,NONE
20260624_144950,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,55,9,NONE
20260624_144951,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,54,9,NONE
20260624_144952,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,54,9,NONE
20260624_144953,0x000181b800dd8040,0x000000001c020000,0x0000000014000000,54,2,NONE
20260624_144954,0x000181b800dd8040,0x000000001c020400,0x0000000014000000,53,1,NONE
20260624_144955,0x000181b800dd8040,0x000000001c020000,0x0000000014000000,52,1,NONE
