Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_144451,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,56,0,NONE
20260624_144452,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,69,34,NONE
20260624_144453,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,72,34,NONE
20260624_144454,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,74,34,NONE
20260624_144455,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,76,34,NONE
20260624_144456,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,76,34,NONE
20260624_144457,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,80,36,NONE
20260624_144458,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,81,35,NONE
20260624_144500,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,82,35,NONE
20260624_144501,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,83,36,NONE
20260624_144502,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,87,37,NONE
20260624_144503,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,87,36,NONE
20260624_144504,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,88,37,NONE
20260624_144505,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,89,37,NONE
20260624_144506,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,86,36,NONE
20260624_144507,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,71,22,NONE
20260624_144508,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,69,17,NONE
20260624_144509,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,68,15,NONE
20260624_144510,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,67,15,NONE
20260624_144511,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144512,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144514,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144515,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144516,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144517,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144518,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144519,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,16,NONE
20260624_144520,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144521,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,60,14,NONE
20260624_144522,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,63,1,NONE
