Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_144008,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,56,0,NONE
20260624_144009,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,66,33,NONE
20260624_144010,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,70,34,NONE
20260624_144011,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,73,34,NONE
20260624_144012,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,74,34,NONE
20260624_144013,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,76,35,NONE
20260624_144014,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,78,35,NONE
20260624_144015,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,80,35,NONE
20260624_144016,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,81,35,NONE
20260624_144017,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,85,36,NONE
20260624_144018,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,85,35,NONE
20260624_144019,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,87,36,NONE
20260624_144020,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,88,36,NONE
20260624_144021,0x000181b800dd8078,0x000000001c021000,0x0000000014000000,88,37,NONE
20260624_144022,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,78,36,NONE
20260624_144024,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,70,20,NONE
20260624_144025,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,68,16,NONE
20260624_144026,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,67,15,NONE
20260624_144027,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144028,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144029,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144030,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,66,15,NONE
20260624_144031,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144032,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144033,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144034,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,65,15,NONE
20260624_144035,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,64,15,NONE
20260624_144037,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,64,15,NONE
20260624_144038,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,64,15,NONE
20260624_144039,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,64,15,NONE
20260624_144040,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,64,16,NONE
20260624_144041,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,15,NONE
20260624_144042,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144043,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144044,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144045,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144046,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144047,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144049,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144050,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144051,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144052,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144053,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144054,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144055,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144056,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144057,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144058,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,62,16,NONE
20260624_144059,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,62,16,NONE
20260624_144101,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144102,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144103,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144104,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144105,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144106,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144107,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,63,16,NONE
20260624_144108,0x000181b800dd8078,0x000000001c020400,0x0000000014000000,62,10,NONE
20260624_144109,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,61,1,NONE
20260624_144110,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,60,1,NONE
20260624_144111,0x000181b800dd8078,0x000000001c020000,0x0000000014000000,59,1,NONE
