Timestamp,MSR_0x610,MSR_0x64F,MSR_0x6B0,SoC_Temp_C,PKG_Power_W,Throttling_Flags
20260624_143503,0x000181b800dd8068,0x000000001c020000,0x0000000010000000,61,0,NONE
20260624_143504,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,74,34,NONE
20260624_143505,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,75,34,NONE
20260624_143506,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,78,35,NONE
20260624_143507,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,80,35,NONE
20260624_143508,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,81,35,NONE
20260624_143509,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,83,35,NONE
20260624_143510,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,84,36,NONE
20260624_143512,0x000181b800dd8068,0x000000001c021000,0x0000000010000000,85,38,NONE
20260624_143513,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,67,22,NONE
20260624_143514,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,64,15,NONE
20260624_143515,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,62,14,NONE
20260624_143516,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,62,13,NONE
20260624_143517,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,62,13,NONE
20260624_143518,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,61,13,NONE
20260624_143519,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,61,14,NONE
20260624_143520,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,61,13,NONE
20260624_143522,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,60,14,NONE
20260624_143523,0x000181b800dd8068,0x000000001c020400,0x0000000010000000,60,14,NONE
20260624_143524,0x000181b800dd8068,0x000000001c020000,0x0000000014000000,60,5,NONE
